Business Name,Address,City/Area,Postcode,Phone,Website,Decision Maker,Decision Maker Role,Social Media/LinkedIn,Booking System,Automation Opportunity,Priority
No.4 West Bridgford,West Bridgford,West Bridgford,NG2,,https://no4.hair,,Owner,Website,Website,Low - Balmain concept,Low
M Hair and Beauty WB,Compton Acres,West Bridgford,NG2,,https://mhairandbeautywb.com,,Owner,Website,Website,Low,Low
The Salon West Bridgford,West Bridgford,West Bridgford,NG2,,https://thesalonwestbridgford.com,,Owner,Website,Website,Medium,Medium
Stylish Strands Hair Design,Loughborough Road,West Bridgford,NG2,,,,Owner,,Unknown,Medium,Medium
Gracie B Hair & Beauty,West Bridgford,West Bridgford,NG2,,,,Owner,,Unknown,Medium,Medium
Hair By Nlk,35A Gordon Road,West Bridgford,NG2 5LL,,,,Owner,Fresha,Fresha,Low,Low
L&A Hairdressing and Beauty,21A Ashworth Avenue,Ruddington,NG11 6GD,,,,Owner,Fresha,Fresha,Low,Low
Hair By Macey Coles,111 Rivergreen,Clifton,NG11 8FU,,,,Macey Coles (Owner),Fresha,Fresha,Low,Low
Courtneyjade Hairdressing,Dungannon Road,Clifton,NG11,,,,Courtney Jade (Owner),,Unknown,Medium,Medium
Arena Hair,Hucknall,Hucknall,NG15,,https://arenahair.co.uk,,Owner,Website,Website,Medium - Victorian setting,Medium
Halo Hair Studio,6 Banks Yard,Bulwell,NG6 8FE,,https://halohairnottingham.weebly.com,,Owner,Weebly site,Basic website,High - Basic Weebly,High
Halo Hair And Beauty,7 Watnall Road,Hucknall,NG15 7LD,,,,Owner,Booksy,Booksy,Low,Low
Locks of Envy,9 Main St,Bulwell,NG6 8QH,,,,Owner,Fresha,Fresha,Low,Low
Beautress Hair Salon,Bulwell,Bulwell,NG6,,https://beautress.co.uk,,Owner,Website,Website,Medium - Home based,Medium
Braids & Beauty Place,Near Bulwell station,Bulwell,NG6,,,,Owner,,Unknown,Medium,Medium
Blu Hair Cotgrave,Cotgrave,Cotgrave,NG12,,https://bluhair.co.uk,,Owner,Website,Website,Low - Multiple locations,Low
Blu Hair Bingham,Bingham,Bingham,NG13,,https://bluhair.co.uk,,Owner,Website,Website,Low,Low
Blu Hair Keyworth,Keyworth,Keyworth,NG12,,https://bluhair.co.uk,,Owner,Website,Website,Low,Low
Scrunchies Hairdressers,4 Bingham Rd,Radcliffe On Trent,NG12 2FU,,,,Owner,Fresha,Fresha,Low,Low
The Garden Hair Room,5a Stockwell Lane,Cropwell Bishop,NG12 3BX,,,,Owner,,Unknown,Medium,Medium
Snips Salon,43a Church St,Cropwell Bishop,NG12 3BY,0115 989 2465,,,Owner,Phone,Phone only,High,High
Zen,3 Kimberley Rd Nuthall,Nuthall,NG16 1DA,,,,Owner,,Unknown,Medium,Medium
W Creative,Kimberley,Kimberley,NG16,,,,Owner,Fresha,Fresha,Low,Low
Àlainn Studio,Kimberley,Kimberley,NG16,,,,Owner,Fresha,Fresha,Low,Low
Kenlee WCreative,Kimberley,Kimberley,NG16,,,,Owner,Fresha,Fresha,Low,Low
Belle Hair,207 Nottingham Rd,Eastwood,NG16 3GS,01773 761913,,,Owner,Phone,Phone only,High,High
Enigma Hair,Eastwood,Eastwood,NG16,0115 849 5847,https://enigmahairdressingeastwood.co.uk,,Owner,Website,Phone/Website,Medium,Medium
Cutz Ltd,19 Lawrence Avenue,Awsworth,NG16 2SN,0115 932 0284,,,Owner,Phone,Phone only,High,High
Henry-Wills Salon,Ilkeston,Ilkeston,DE7,,,,Owner,Fresha,Fresha,Low,Low
Carmel at Henry-Wills Salons,Little Hallam,Ilkeston,DE7,,,,Carmel (Stylist),Fresha,Fresha,Low,Low
Hair by Lucy Ella,Little Hallam,Ilkeston,DE7,,,,Lucy Ella (Owner),Fresha,Fresha,Low,Low
Earls Hair & Beauty,82 South St,Ilkeston,DE7 5QJ,,,,Owner,Fresha,Fresha,Low,Low
Armstrong Mill Salon,Middleton St,Ilkeston,DE7 5TT,,,,Owner,Fresha,Fresha,Low,Low
Highhopes Mobile Hairdressers,Giltbrook,Giltbrook,NG16 2RP,07984 635076,,,Owner,Phone,Phone only,High - Mobile,High
The Dumb Brunette,199 Bramcote Lane,Wollaton,NG8 2QJ,01159 281954,https://thedumbbrunette.co.uk,Millie,Owner (30 yrs since 2003),Website,Website,Low - Sustainable salon,Low
The Dollshouse,Wollaton,Wollaton,NG8,,https://thedollshousewollaton.com,Sally,Bridal specialist,Website,Website,Medium,Medium
Hair by Shane,87 Mansfield Road,Daybrook,NG5,,,,Shane (Owner),Fresha,Fresha,Low,Low
Four Four Hair,Winchester Street,Sherwood,NG5,,,,Owner,Fresha,Fresha,Low,Low
SIIN.Hair.Beauty,Sherwood,Sherwood,NG5,,,,Owner,,Unknown,Medium,Medium
Ky Unisex Hair & Beauty,Nottinghamshire,Nottingham,NG,,,,Owner,,Unknown,Medium,Medium
KH Hair Derby Sadlergate,Sadler Gate,Derby,DE1,,https://khhair-derby-sadlergate.co.uk,,Manager,Website,Website,Low - Major chain,Low
TONI&GUY Derby,Derby,Derby,DE1,,https://toniandguy.com/salon/derby,,Manager,Website,Website,Low - Major chain,Low
No.10 Derby,10 St Peters Churchyard,Derby,DE1 1NN,,https://no10derby.co.uk,,Owner,Website,Website,Medium - Coffee + Salon,Medium
HQ Salon Derby,49 Queen St,Derby,DE1,,https://hqsalonderby.com,,Owner,Website,Website,Medium,Medium
The Strawberry Salon,2 City Road,Derby,DE1 3RQ,,,,Owner,,Unknown,Medium,Medium
Cocco Salon,University Quarter Ashbourne Rd,Derby,DE1,,https://coccosalon.co.uk,,Owner,Website,Website,Medium,Medium
Sally Montague Hair Group,Friar Gate,Derby,DE1,,https://sallymontague.co.uk,Sally Montague,Founder,Website,Website,Low - 7 salons,Low
Sally Montague Irongate,Irongate,Derby,DE1,,https://sallymontague.co.uk,Sally Montague,Founder,Website,Website,Low,Low
Blend Salon,Derby,Derby,DE1,,https://blendsalons.co.uk,,Owner,Website,Website,Medium,Medium
George's Hairdressing,Leicester,Leicester,LE1,,https://georgeshairdressing.com,,Owner (50+ years),Website,Website,Low - Award winning,Low
Barrie Stephen Hair,Leicester,Leicester,LE1,,https://barriestephenhair.co.uk,Barrie Stephen,Founder,Website,Website,Low - Premium,Low
Blake Edwards,17b Cank Street,Leicester,LE1,,https://blakeedwards.hair,Blake Edwards,Founder,Website,Website,Low - Modern,Low
KH Hair Leicester,Leicester,Leicester,LE1,,https://khhair-leicester.co.uk,,Manager,Website,Website,Low - Chain,Low
Crystal Hair & Beauty,Leicester City Centre,Leicester,LE1,,,,Owner,,Unknown,Medium,Medium
Remy Hair Salon,Leicester,Leicester,LE1,,https://remyhairsalon.co.uk,Remy,Founder,Website,Website,Low - Vidal Sassoon trained,Low
Malcolm Murphy Hair,Leicester,Leicester,LE1,,,Malcolm Murphy,Owner,LinkedIn,Unknown,Medium,Medium
Moda Greco,Leicester,Leicester,LE1,,,,Owner,,Unknown,Medium,Medium
Indy Hairdressing,Leicester,Leicester,LE1,,,,Owner,,Unknown,Medium,Medium
Danique Hairdressing,Leicester,Leicester,LE1,,,,Owner,,Unknown,Medium,Medium
Hair @ 1rd,Leicester,Leicester,LE1,,,,Owner,,Unknown,Medium,Medium
Robinson Hair Design,Leicester,Leicester,LE1,,,,Owner,,Unknown,Medium,Medium
Love Me Do Hair Boutique,Leicester,Leicester,LE1,,,,Owner,,Unknown,Medium,Medium
Carlo's,Leicester,Leicester,LE1,,,,Carlo (Owner),,Unknown,Medium,Medium
Tiga Hair Spa,Kirkby-In-Ashfield Town Centre,Kirkby-in-Ashfield,NG17,,https://tigahairspa.co.uk,Stuart Angus,Founder (Est. 2006),Website,Website,Medium - Established,Medium
Parkview Hair & Beauty,Kirkby-in-Ashfield,Kirkby-in-Ashfield,NG17,,https://parkviewsalon.com,,Owner (Est. 2002),Website,Website,Medium - Large salon,Medium
KH Hair Sutton,Sutton in Ashfield,Sutton-in-Ashfield,NG17,,,,Manager,Website,Website,Low - Chain,Low
Salon 292,292 Mansfield Road,Sutton-in-Ashfield,NG17 4HR,01623 552040,,,Owner,Phone/Website,Phone,Medium,Medium
Friends Hair Company,4 Market St,Sutton-in-Ashfield,NG17 1AG,01623 551302,,,Owner,Phone,Phone only,High,High
Olive Hair and Beauty,201 Sutton Road Huthwaite,Sutton-in-Ashfield,NG17 2NE,,,Beth,Stylist/Owner,,Unknown,Medium,Medium
The Hair Emporium,Ashfield,Ashfield,NG17,,,,Owner,,Unknown,Medium,Medium
Mermaid Locks Salon,Ashfield,Ashfield,NG17,,,,Owner,,Unknown,Medium,Medium
Chic Boutique,Ashfield,Ashfield,NG17,,,,Owner,,Unknown,Medium,Medium
Images Hair Salon,Retford,Retford,DN22,,https://imageshairretford.co.uk,,Owner,Website,Website,Medium,Medium
Duo Hair and Beauty Salon,Retford,Retford,DN22,,https://duohairandbeauty.com,,Owner,Website,Website,Medium - Established,Medium
Boons Hairdressers,Retford,Retford,DN22,,,Clive Boon,Award-winning owner,,Unknown,Medium - Award winning,Medium
The Palms Hair & Beauty,Worksop,Worksop,S80,,,,Owner (New management),Instagram: @thepalmsworksop,Unknown,Medium - New management,Medium
Thomas Hairdressing Oakham,16-17 The Maltings Mill Street,Oakham,LE15 6EA,,https://thomashairdressing.co.uk,Thomas,Owner,Website,Website,Low - 95% return rate,Low
Thomas Hairdressing Market Harborough,Market Harborough,Market Harborough,LE16,,https://thomashairdressing.co.uk,Thomas,Owner,Website,Website,Low,Low
Thomas Hairdressing Uppingham,Uppingham,Uppingham,LE15,,https://thomashairdressing.co.uk,Thomas,Owner,Website,Website,Low,Low
Blush Hair,Laura Lane Studios,Market Harborough,LE16,,https://blushhairmh.com,,Owner,Website,Website,Medium,Medium
The Beauty Edit Collective,Unit 2 Union Wharf,Market Harborough,LE16 7UW,,,Stephanie/Chloe/Holly,Stylists,,Unknown,Medium,Medium
MG Hair Salon,Ashby Road,Loughborough,LE11,,https://mghair.com,,Owner (Est. 2000),Website,Website,Medium,Medium
The Head Office,Loughborough Town Centre,Loughborough,LE11,,https://theheadofficeuk.com,,Owner,Website,Website,Medium,Medium
Dignified Hair Design,Loughborough,Loughborough,LE11,,,,Owner,,Unknown,Medium,Medium
Mankind,Loughborough,Loughborough,LE11,,,Ashley Bestwick,Director (20+ yrs),Website,Website,Medium - Male grooming,Medium
Taylor & Co Hair,Loughborough,Loughborough,LE11,,,,Owner,Fresha,Fresha,Low,Low
Hair Boutique,Loughborough,Loughborough,LE11,,,,Owner,,Unknown,Medium,Medium
Boudica,Loughborough,Loughborough,LE11,,,,Owner,,Unknown,Medium,Medium
Hair at No11,11 Market Pl,Melton Mowbray,LE13 1XD,,,,Owner,Fresha,Fresha,Low,Low
Burlingtons Hair Salon,Chesterfield Town Centre,Chesterfield,S40,,https://burlingtonshair.co.uk,,Owner (Est. 2015),Website,Website,Medium - Family owned,Medium
All About You S40,Chesterfield,Chesterfield,S40,,https://allaboutyouhairsalon.co.uk,,Owner,Website,Website,Medium,Medium
Webbers Hairdressing,Chesterfield,Chesterfield,S40,,,,Owner,,Unknown,Medium,Medium
I Love Hair,North Wingfield,Chesterfield,S42,,,,Owner (Toni&Guy trained),,Unknown,Medium,Medium
Mark Scott Belper,Belper,Belper,DE56,,,,Owner,,Unknown,Medium,Medium
Authentic Self Hair,Belper,Belper,DE56,,,,Owner,Fresha,Fresha,Low,Low
Cut Above,Matlock,Matlock,DE4,,,Fatima,Stylist,,Unknown,Medium,Medium
Baileys Hairdressing,Grantham,Grantham,NG31,,https://baileyshairdressing.co.uk,,Owner,Website,Website,Medium,Medium
Transformations,Wharf Road,Grantham,NG31,,,Jake Weston,Owner (since age 12),Unknown,Unknown,Medium - New,Medium
Headroom,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
Hair Band,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
Planet Hair,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
UK Hair & Beauty,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
Avanti San Lorenzo,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
Shades,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
Alwyn's Hair Design,Grantham,Grantham,NG31,,,,Alwyn (Owner),,Unknown,High - Traditional,High
Strand Management,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
Blunt Hairdressers,Grantham,Grantham,NG31,,,,Owner,,Unknown,Medium,Medium
Mojo's,Ironmonger Street,Stamford,PE9,,,,Owner,Website,Website,Medium - Schwarzkopf/Wella,Medium
Claire Mobile Hairdresser,Stamford area,Stamford,PE9,,https://mobilehairdresserstamford.co.uk,Claire,Owner,Website,Phone,High - Mobile needs scheduling,High
Alter Ego,Stamford,Stamford,PE9,,,,Owner,,Unknown,Medium,Medium
Gloss & Glow,Stamford,Stamford,PE9,,,,Owner,,Unknown,Medium,Medium
Cutting Co,Stamford,Stamford,PE9,,,,Owner,,Unknown,Medium,Medium
Cuts 'n' More,Stamford,Stamford,PE9,,,,Owner,,Unknown,Medium,Medium
Garie Nigel Hairwork,Stamford,Stamford,PE9,,,,Garie/Nigel (Owners),,Unknown,Medium,Medium
Redz 2,Stamford,Stamford,PE9,,,,Owner,,Unknown,Medium,Medium
His & Hers,Stamford,Stamford,PE9,,,,Owner,,Unknown,Medium,Medium
The Changing Room,Stamford,Stamford,PE9,,,,Owner,,Unknown,Medium,Medium
Temple Hair Spa,Market Street,Burton on Trent/Ashby,DE11 0HX,,,,Owner,,Unknown,Medium,Medium
Stephanie Jones Hair Ashby,Ashby-de-la-Zouch,Ashby-de-la-Zouch,LE65,,https://stephaniejoneshair.com,Stephanie Jones,Owner,Website,Website,Low - Multiple stylists,Low
Cutters,Burton-On-Trent,Burton on Trent,DE14,,,,Owner,,Unknown,Medium,Medium
Beauticianchic Studio,Central Nottingham (opp station),Nottingham,NG1,,https://beauticianchicstudio.com,,Owner,Website,Website,Medium - Afro specialist,Medium
Aduma's Beauty Salon,Leicester,Leicester,LE1,,,,Owner,,Unknown,Medium - Afro specialist,Medium
Rikki Taylor Hair,Nottingham,Nottingham,NG,,,,Rikki Taylor,Owner (LinkedIn),,Unknown,Medium,Medium
Compliments Hair and Beauty,Nottingham,Nottingham,NG,,,Natalie Cawthorne,Owner (LinkedIn),,Unknown,Medium,Medium
Anita Hair Fashions,Nottingham,Nottingham,NG1,,,,Anita (Owner),,Unknown,Medium,Medium
Dean West Hair Co,Nottingham,Nottingham,NG1,,,,Dean West (Owner),,Unknown,Medium,Medium
Katie Jane's Hair & Beauty,Nottingham,Nottingham,NG1,,,,Katie Jane (Owner),,Unknown,Medium,Medium
White Room,Nottingham,Nottingham,NG1,,,,Owner,,Unknown,Medium,Medium
Sei Bella Hair & Beauty Boutique,Nottingham,Nottingham,NG1,,,,Owner,,Unknown,Medium,Medium
Browns Hairdressing,Nottingham,Nottingham,NG1,,,,Owner,,Unknown,Medium,Medium
Mayfields,Beeston/Stapleford,Beeston,NG9,,,,Owner,,Unknown,Medium,Medium
Sharpe Hair Design,Beeston/Stapleford,Beeston,NG9,,,,Sharpe (Owner),,Unknown,Medium,Medium
Saffina's Hair Salon,Beeston/Stapleford,Beeston,NG9,,,,Saffina (Owner),,Unknown,Medium,Medium
A Flair For Hair,Beeston/Stapleford,Beeston,NG9,,,,Owner,,Unknown,Medium,Medium
Chaplins Hair and Beauty,Beeston,Beeston,NG9,,https://chaplinshair.co.uk,,Owner,Website,Website,Low - Multiple locations,Low
Charley & Olivia's Hairdressing,Beeston/Stapleford,Beeston,NG9,,,,Charley & Olivia (Owners),,Unknown,Medium,Medium
Ledana Hairdressers,Beeston/Stapleford,Beeston,NG9,,,,Owner,,Unknown,Medium,Medium
KH Hair Ripley,Ripley,Ripley,DE5,,,,Manager,Website,Website,Low - Chain,Low
Keirl Hairdressing,West Bridgford,West Bridgford,NG2,,https://keirlhairdressing.com,,Owner,Website,Website,Medium,Medium
Anna Jones Salon,Nottingham,Nottingham,NG,,,Anna Jones,Owner (LinkedIn),,Unknown,Medium,Medium
