Company Name,Category,Location,Phone,Email,Website,Contact Person,Specialisation,Priority,Notes
Heron Property Ltd,Property Developer,"UK Ireland Europe",028 7962 8505,property@heronbros.com,heronbros.com,,Commercial industrial development,Tier 3,FDI projects across UK
Berkeley Group,Property Developer,UK,,,berkeleygroup.co.uk,,Largest UK construction holding company,Tier 3,Major UK developer
Barratt Developments PLC,Property Developer,UK,,,barrattdevelopments.co.uk,,Residential mixed-use development,Tier 3,Operating since 1958
British Land,Property Developer,UK,,,britishland.com,,Commercial real estate,Tier 3,Leader in UK commercial property
SEGRO,Property Developer,UK Europe,,,segro.com,,Industrial properties warehouses,Tier 3,Commercial real estate powerhouse
Canary Wharf Group,Property Developer,London,,,canarywharf.com,,Urban regeneration,Tier 3,Largest urban regeneration Europe
Regal London,Property Developer,London,,,regal-london.co.uk,,Mixed-use real estate,Tier 3,Leading privately owned London
Cobus Spaces,Architecture,Gloucester Cheltenham Oxford Swindon Birmingham Bristol,01452 418789,hello@cobus-spaces.com,cobus-spaces.com,,Commercial interior design,Tier 2,South West specialist UK coverage
DENTON London,Architecture,London,,terry.price@denton.co.uk,denton.co.uk,Terry Price,Bespoke commercial interior design,Tier 2,Named decision maker contact
DENTON London,Architecture,London,,james.webster@denton.co.uk,denton.co.uk,James Webster,Bespoke commercial interior design,Tier 2,Named decision maker contact
Liqui Group,Architecture,London Sussex,,info@liquigroup.com,liquidesign.co.uk,,Interior design fit-out custom joinery,Tier 2,Full service boutique design
Liqui Group,Architecture,London Sussex,,interiors@liquigroup.com,liquidesign.co.uk,,Interior design fit-out custom joinery,Tier 2,Interiors enquiries
Liqui Group,Architecture,London Sussex,,contracts@liquigroup.com,liquidesign.co.uk,,Interior design fit-out custom joinery,Tier 2,Contracts enquiries
The Office Interior Company,Architecture,UK,,,theofficeinteriorcompany.co.uk,,Commercial design build,Tier 2,SME workspace specialists
MPL Interiors,Architecture,London South East,,,mplinteriors.com,,Commercial interior design retail fit-out,Tier 2,Bang Olufsen Samsung clients
HKS Architects,Architecture,"24-30 Great Titchfield St London W1W 8BF",+44 20 7292 9494,,hksinc.com,,Commercial architecture,Tier 2,Global firm London presence
Michael Jones Architects,Architecture,London,,,mjarchitects.co.uk,,Office spaces hospitality healthcare,Tier 2,Free initial consultations
SWL Services,Facility Management,London,0800 644 6605,hello@SWLservices.co.uk,swlservices.co.uk,,Facilities management property maintenance,Tier 2,Commercial building specialists
Oltec Group,Facility Management,London,0800 038 9786,,oltecgroup.com,,Reactive maintenance FM services,Tier 2,5 million sq ft under management
FMS UK Group,Facility Management,West Midlands UK,02476993199,,fmsuk-group.com,,24/7 facilities management,Tier 2,Preventative reactive maintenance
Precision Facilities Management,Facility Management,UK Ireland,0116 366 6508,,precisionfm.co.uk,,Facilities management,Tier 2,1000+ sites UK Ireland
Mitie,Facility Management,UK-wide,,,mitie.com,,Technology-led facilities transformation,Tier 2,UKs leading FM company AI-enhanced
Quills FM Ltd,Facility Management,UK,0845 078 0324,hello@quillsuk.co.uk,quillsuk.co.uk,,Planned preventative maintenance,Tier 2,Comprehensive maintenance plans
Omni Total Solutions,Facility Management,Central London,0203 3760950,,facilitymanagementlondon.co.uk,,Planned maintenance emergency repairs office fit-outs,Tier 2,Full FM service provider
University of Oxford,University,Oxford,01865 278755,trevor.payne@admin.ox.ac.uk,estates.admin.ox.ac.uk,Trevor Payne (Director of Estates),Estate management,Tier 3,Major UK university
University of Oxford,University,Oxford,,estates.compliance@admin.ox.ac.uk,estates.admin.ox.ac.uk,,Estate compliance,Tier 3,General queries
University of Cambridge,University,Cambridge,,estates.enquiries@admin.cam.ac.uk,em.admin.cam.ac.uk,,Estate management,Tier 3,World-renowned university
University of Cambridge,University,Cambridge,,emproperty@admin.cam.ac.uk,em.admin.cam.ac.uk,,Property land management,Tier 3,Property land enquiries
University of East London,University,London,,l.odell2@uel.ac.uk,uel.ac.uk,Liam ODell (Director Estates),Estates facilities,Tier 3,Named director contact
University of East London,University,London,,e.birch@uel.ac.uk,uel.ac.uk,Edwin Birch (Director Development),Development capital delivery,Tier 3,Named director contact
University of East London,University,London,,d.pyle@uel.ac.uk,uel.ac.uk,Dean Pyle,Space management,Tier 3,Space manager
University of East London,University,London,,n.hogan@uel.ac.uk,uel.ac.uk,Nicola Hogan,Sustainability,Tier 3,Head of Sustainability
University of Manchester,University,Manchester,+44 161 275 2255,estatesandfacilities@manchester.ac.uk,estates.manchester.ac.uk,,Estates facilities,Tier 3,Major Russell Group university
University of Surrey,University,Surrey,,efmenquiries@surrey.ac.uk,surrey.ac.uk,,Estates facilities management,Tier 3,Open to new supplier introductions
University of Leicester,University,Leicester,,ECS-Service@le.ac.uk,le.ac.uk,,Estates campus services,Tier 3,General enquiries
University of Leicester,University,Leicester,,rojt1@leicester.ac.uk,le.ac.uk,Richard Thomas (Deputy Director),Estates,Tier 3,Named senior contact
University of Huddersfield,University,Huddersfield,,Estates@hud.ac.uk,hud.ac.uk/estates,,Campus management,Tier 3,Campus issues
NHS London Procurement Partnership,Healthcare,London,,,lpp.nhs.uk,,Estates facilities corporate services,Tier 4,Central NHS procurement body
NHS Shared Business Services,Healthcare,UK,,,sbs.nhs.uk,,Construction Estates Framework,Tier 4,NHS-wide framework contracts
NHS Property Services,Healthcare,UK,,,property.nhs.uk,,NHS estate management,Tier 4,National NHS property manager
MTX Contracts,Healthcare,UK,,,mtx.co.uk,,Healthcare facilities NHS private,Tier 4,Healthcare construction specialists
Wernick Buildings,Healthcare,UK,,,wernick.co.uk,,Modular healthcare buildings,Tier 4,NHS modular building specialist
Freemont Building Ltd,Retail Fit-Out,Manchester,0161 503 9075,,freemontbuilding.com,,Retail shop fit-out,Tier 1,30+ years retail experience
Kova Interiors,Retail Fit-Out,London South-East,,,kova.uk.com,,Interior refurbishment,Tier 1,12 years inspiring spaces
Fit Out UK,Retail Fit-Out,London Sheffield,,,fitoutuk.com,,Retail hospitality banking commercial,Tier 1,Blue chip clients
Eden London,Retail Fit-Out,London,,,edenlondon.co.uk,,Shop design retail fit-outs refurbishments,Tier 1,100% on-time on-budget
Oakwoods UK,Retail Fit-Out,Andover,,,oakwoodsuk.com,,Retail shopfitting,Tier 1,White Company Joules Next clients
The Invisible Group,Retail Fit-Out,London,,,invisible-group.co.uk,,Premium retail fit-outs,Tier 1,Never subcontracts
Contact One UK,Hospitality,Manchester,0161 839 9220,,contactoneuk.com,,Bar pub restaurant fit-outs,Tier 4,Hospitality specialists
Nexus,Hospitality,London UK,,,nex-us.co.uk,,Restaurant fit-out,Tier 4,Sexy Fish The Ivy Megans clients
Chrysalis Contracts,Hospitality,UK,,,chrysaliscontracts.com,,Hotels bars restaurants spas leisure,Tier 4,Full hospitality coverage
CBRE UK,Property Management,UK,,,cbre.co.uk,,Property management,Tier 3,250 million sq ft 900+ professionals
Willmotts,Property Management,London Southeast,020 8222 9915,s.hanton@willmotts.com,willmotts.com,Simon Hanton (Director),Commercial property management,Tier 3,Named director contact
Hayes Commercial Property Management,Property Management,Cornwall,+44 1872 560 426,ah@hayescpm.co.uk,hayescpm.co.uk,,Commercial property management,Tier 3,Regional specialist
Savills UK,Property Management,UK,,,savills.co.uk,,Commercial property management,Tier 3,£30 billion property under management
SHW,Property Management,"London Crawley Brighton",,,shw.co.uk,,Industrial offices retail shopping centres,Tier 3,Multi-sector portfolio
ACA Acoustics,Acoustic Consultant,"London Manchester Birmingham Swindon",01793 766324,,aca-acoustics.co.uk,,Noise surveys sound testing impact assessments,Tier 2,Free initial consultation
NOVA Acoustics,Acoustic Consultant,Liverpool,0151 2720106,liverpool@novaacoustics.co.uk,novaacoustics.co.uk,,Workplace noise assessments,Tier 2,Next-day attendance available
NOVA Acoustics,Acoustic Consultant,"London EC1N 8JY",0203 3756160,london@novaacoustics.co.uk,novaacoustics.co.uk,,Workplace noise assessments,Tier 2,Next-day attendance available
Clear Acoustic Design Ltd,Acoustic Consultant,"London Birmingham Bristol Wales Devon",0330 043 5493,info@clearacousticdesign.com,clearacousticdesign.com,,Noise sound vibration buildings workplaces,Tier 2,Multi-location coverage
ParkerJones Acoustics,Acoustic Consultant,UK,,,parkerjonesacoustics.com,,Industrial noise surveys assessments,Tier 2,Broad acoustics expertise
HA Acoustics,Acoustic Consultant,"Essex London East Anglia South East",01245 206 250,,ha-acoustics.co.uk,,Acoustic testing noise at work,Tier 2,South East specialists
Zentia,Ceiling Manufacturer,Gateshead Tyne and Wear,,,zentia.com,,Complete ceiling solutions,Competitor,UK market leader formerly Armstrong
Ceiling Tiles UK,Ceiling Distributor,"Cheltenham GL51 4XB",01242 862 173,,ceilingtilesuk.co.uk,,Ceiling tile distribution,Tier 2,Multi-sector distribution
Ceiling Tiles Express,Ceiling Distributor,UK,,,ceilingtilesexpress.co.uk,,Zentia ceiling tiles commercial educational,Tier 2,Zentia distributor
Workplace Interior Shop,Ceiling Distributor,UK,,,workplaceinteriorshop.co.uk,,Ceiling tiles acoustic canopies,Tier 2,Bespoke quotes calculations
Encon,Ceiling Distributor,UK,,,encon.co.uk,,Ceiling tiles and grid supply,Tier 2,Wide range of brands
Armstrong Cheshire,Ceiling Distributor,UK,,,armstrongsupplies.co.uk,,Zentia ceiling tiles,Tier 2,Zentia specialist distributor
Saradan Design & Management,Data Centre,UK,01432 851170,Sales@Saradan.co.uk,saradan.co.uk,,Data centre design consultancy maintenance,Tier 4,Est 1996 interior fit-out
Infiniti UK,Data Centre,UK Europe,0844 225 0094,,infiniti-it.co.uk,,Data centre design build construction,Tier 4,Award-winning provider
Sweet Projects,Data Centre,UK,,,sweet-projects.com,,Turnkey data centre construction,Tier 4,Multi-million pound experience
Glencar Construction,Data Centre,UK,0207 770 6900,enquiries@glencar.com,glencar.com,,Data centres industrial logistics,Tier 4,Uptime Institute Tier Certification
Datalec Precision Installations,Data Centre,UK,,,datalecltd.com,,Data centre M&E construction connectivity,Tier 4,End-to-end technical design fit-outs
Sudlows,Data Centre,UK,,,sudlows.com,,Data centre design build,Tier 4,Principal contractor capability
ATB Industrial Ltd,Industrial,England Wales,,,atbindustrial.com,,Commercial industrial construction,Tier 4,Large new builds extensions
Warehouse Construction Contractors,Industrial,South East London,,,warehouseconstructioncontractors.com,,Full turnkey warehouse delivery,Tier 4,Planning to fit-out coverage
Jarvale,Industrial,"Dronfield Derbyshire S18 2YA",,,jarvale.co.uk,,Industrial construction,Tier 4,Sheffield-based specialist
Collinson Tensile,Industrial,UK,,,collinsontensile.co.uk,,Tensile buildings warehouses hangars,Tier 4,Best-Hall UK partner since 2003
REMARS MEP Engineering,MEP Contractor,"London Liverpool Manchester",07923 104 425,info@remars.co.uk,remars.co.uk,,MEP HVAC design BIM,Tier 2,Multi-city consultancy
Hanover Building Services,MEP Contractor,London South East,,,hanoverbuildingservices.com,,Electrical mechanical contracting,Tier 2,40+ years experience
G&H,MEP Contractor,UK,,,wearegandh.com,,Sustainable MEP services,Tier 2,Tier one contractor clients
MEC Humber,MEP Contractor,Hull UK-wide,01482 219526,,mechumber.com,,M&E engineering HVAC,Tier 2,Family-run est 2015
Cotaplan,Modular Construction,Wigan North West,0800 7999 049,info@cotaplan.co.uk,cotaplan.co.uk,,Bespoke modular buildings,Tier 4,UKs leading modular supplier est 1982
GO MODULAR,Modular Construction,Southampton,02380 869 719,,go-modular.co.uk,,Modular construction,Tier 4,Off-site manufacturing
Premier Modular,Modular Construction,UK,,,premiermodular.co.uk,,Offsite modular building,Tier 4,Zero-waste construction
Modulek,Modular Construction,UK,,,modulek.co.uk,,Hybrid modular construction,Tier 4,Traditional look modular speed
Acrol Modular Buildings,Modular Construction,North East,0191 4773500,,buildingsmodular.co.uk,,Prefabricated modular buildings,Tier 4,29 years experience
Rollalong,Modular Construction,UK,,,rollalong.co.uk,,Modular buildings homes schools healthcare,Tier 4,60-year design life accreditation
Clegg Group Cleanrooms,Cleanroom,UK,0115 841 3121,foodprojects@clegggroup.co.uk,cleggfoodprojects.co.uk,,Clean room construction,Tier 4,Food pharma medical tech sectors
CRC Clean Room Construction Ltd,Cleanroom,UK,,,crc-ltd.co.uk,,Cleanroom design build,Tier 4,Est 1967 biotech pharma clients
Asgard Cleanroom Solutions,Cleanroom,"UK Ireland EMEA NA Asia",,,asgardcleanrooms.com,,Cleanrooms pharma EV semiconductor,Tier 4,ISO 9001 45001 accredited
Guardtech Cleanrooms,Cleanroom,UK,,,guardtechcleanrooms.com,,Modular cleanroom design build,Tier 4,20+ years controlled environments
Connect 2 Cleanrooms,Cleanroom,UK Worldwide,,,connect2cleanrooms.com,,Full cleanroom lifecycle services,Tier 4,6000+ clients 23 years
WeWork UK,Flexible Workspace,34 UK Ireland locations,,,wework.com/en-GB,,Flexible office space,Tier 3,York Road Waterloo most popular global
BizSpace,Flexible Workspace,UK,,,bizspace.co.uk,,Flexible workspace,Tier 3,£466.5m asset value 85.6% occupancy
Flexspace,Flexible Workspace,"52 sites England Scotland Wales",,,flexspace.co.uk,,Flexible workspaces,Tier 3,2500+ versatile workspaces
Work.Life,Flexible Workspace,"London Reading Manchester",,,work.life,,Coworking private offices,Tier 3,2-40 desk offices
Fora,Flexible Workspace,"London UK Germany",,,foraspace.com,,Flexible workspaces,Tier 3,70+ uniquely designed workspaces
Workspace,Flexible Workspace,London,,,workspace.co.uk,,Commercial business premises,Tier 3,Leading London provider
